countyFIPS,year,proprietors,prop_percap,prop_growth,str,imtr,cmtr,KPost2012,qtryr,pop10,tt_CO,tt_KS,tt_MO,tt_NE,tt_OK
8021,2011,1558,0.187327161,-0.005743459,2.9,4.63,4.63,0,2011.1,0.8317,8,0,0,0,0
8021,2012,1600,0.193260056,0.026957638,2.9,4.63,4.63,0,2012.1,0.8279,9,0,0,0,0
8021,2013,1638,0.198377135,0.02375,2.9,4.63,4.63,0,2013.1,0.8257,10,0,0,0,0
8021,2014,1557,0.188134364,-0.049450549,2.9,4.63,4.63,0,2014.1,0.8276,11,0,0,0,0
8023,2010,624,0.176971072,-0.599229287,2.9,4.63,4.63,0,2010.1,0.3526,7,0,0,0,0
8023,2011,631,0.173066374,0.011217949,2.9,4.63,4.63,0,2011.1,0.3646,8,0,0,0,0
8023,2012,644,0.178739939,0.020602219,2.9,4.63,4.63,0,2012.1,0.3603,9,0,0,0,0
8023,2013,667,0.18943482,0.035714286,2.9,4.63,4.63,0,2013.1,0.3521,10,0,0,0,0
8023,2014,658,0.185875706,-0.013493253,2.9,4.63,4.63,0,2014.1,0.354,11,0,0,0,0
8025,2010,552,0.094326726,-0.161094225,2.9,4.63,4.63,0,2010.1,0.5852,7,0,0,0,0
8025,2011,506,0.086554909,-0.083333333,2.9,4.63,4.63,0,2011.1,0.5846,8,0,0,0,0
8025,2012,522,0.096345515,0.031620553,2.9,4.63,4.63,0,2012.1,0.5418,9,0,0,0,0
8025,2013,548,0.102910798,0.049808429,2.9,4.63,4.63,0,2013.1,0.5325,10,0,0,0,0
8025,2014,523,0.093259629,-0.045620438,2.9,4.63,4.63,0,2014.1,0.5608,11,0,0,0,0
8027,2010,1280,0.299415205,1.447418738,2.9,4.63,4.63,0,2010.1,0.4275,7,0,0,0,0
8027,2011,1263,0.298793471,-0.01328125,2.9,4.63,4.63,0,2011.1,0.4227,8,0,0,0,0
8027,2012,1241,0.292619665,-0.017418844,2.9,4.63,4.63,0,2012.1,0.4241,9,0,0,0,0
8027,2013,1337,0.313555347,0.07735697,2.9,4.63,4.63,0,2013.1,0.4264,10,0,0,0,0
8027,2014,1303,0.299953959,-0.025430067,2.9,4.63,4.63,0,2014.1,0.4344,11,0,0,0,0
8029,2010,6133,0.198607513,3.706830391,2.9,4.63,4.63,0,2010.1,3.088,7,0,0,0,0
8029,2011,5999,0.197504445,-0.021849014,2.9,4.63,4.63,0,2011.1,3.0374,8,0,0,0,0
8029,2012,5948,0.195413628,-0.008501417,2.9,4.63,4.63,0,2012.1,3.0438,9,0,0,0,0
8029,2013,5965,0.196773768,0.002858104,2.9,4.63,4.63,0,2013.1,3.0314,10,0,0,0,0
8029,2014,6070,0.202596709,0.017602682,2.9,4.63,4.63,0,2014.1,2.9961,11,0,0,0,0
8031,2010,101143,0.167641536,15.66276771,2.9,4.63,4.63,0,2010.1,60.3329,7,0,0,0,0
8031,2011,106514,0.171996234,0.053103032,2.9,4.63,4.63,0,2011.1,61.9281,8,0,0,0,0
8031,2012,109420,0.172705792,0.027282799,2.9,4.63,4.63,0,2012.1,63.3563,9,0,0,0,0
8031,2013,114372,0.176654573,0.045256809,2.9,4.63,4.63,0,2013.1,64.7433,10,0,0,0,0
8031,2014,120087,0.181283919,0.049968524,2.9,4.63,4.63,0,2014.1,66.2425,11,0,0,0,0
8033,2010,547,0.264891041,-0.995444969,2.9,4.63,4.63,0,2010.1,0.2065,7,0,0,0,0
8033,2011,570,0.280373832,0.042047532,2.9,4.63,4.63,0,2011.1,0.2033,8,0,0,0,0
8033,2012,569,0.284784785,-0.001754386,2.9,4.63,4.63,0,2012.1,0.1998,9,0,0,0,0
8033,2013,542,0.266995074,-0.04745167,2.9,4.63,4.63,0,2013.1,0.203,10,0,0,0,0
8033,2014,587,0.29721519,0.08302583,2.9,4.63,4.63,0,2014.1,0.1975,11,0,0,0,0
8035,2010,52974,0.184591904,89.24531516,2.9,4.63,4.63,0,2010.1,28.6979,7,0,0,0,0
8035,2011,54657,0.186793207,0.031770302,2.9,4.63,4.63,0,2011.1,29.2607,8,0,0,0,0
8035,2012,55434,0.185550654,0.014215928,2.9,4.63,4.63,0,2012.1,29.8754,9,0,0,0,0
8035,2013,57020,0.1860711,0.0286106,2.9,4.63,4.63,0,2013.1,30.6442,10,0,0,0,0
8035,2014,57842,0.183636473,0.014415994,2.9,4.63,4.63,0,2014.1,31.4981,11,0,0,0,0
8037,2010,11645,0.223594017,-0.798675703,2.9,4.63,4.63,0,2010.1,5.2081,7,0,0,0,0
8037,2011,11953,0.230971382,0.02644912,2.9,4.63,4.63,0,2011.1,5.1751,8,0,0,0,0
8037,2012,11952,0.230102807,-8.3661E-05,2.9,4.63,4.63,0,2012.1,5.1942,9,0,0,0,0
8037,2013,12463,0.237938869,0.042754351,2.9,4.63,4.63,0,2013.1,5.2379,10,0,0,0,0
8037,2014,12596,0.238492852,0.010671588,2.9,4.63,4.63,0,2014.1,5.2815,11,0,0,0,0
8039,2010,4447,0.192560838,-0.646951413,2.9,4.63,4.63,0,2010.1,2.3094,7,0,0,0,0
8039,2011,4497,0.193336199,0.011243535,2.9,4.63,4.63,0,2011.1,2.326,8,0,0,0,0
8039,2012,4353,0.186025641,-0.032021348,2.9,4.63,4.63,0,2012.1,2.34,9,0,0,0,0
8039,2013,4431,0.187198986,0.017918677,2.9,4.63,4.63,0,2013.1,2.367,10,0,0,0,0
8039,2014,4422,0.183272546,-0.002031144,2.9,4.63,4.63,0,2014.1,2.4128,11,0,0,0,0
8041,2010,78334,0.124944573,16.71460877,2.9,4.63,4.63,0,2010.1,62.695,7,0,0,0,0
8041,2011,79869,0.125402535,0.019595578,2.9,4.63,4.63,0,2011.1,63.6901,8,0,0,0,0
8041,2012,79838,0.123656955,-0.000388136,2.9,4.63,4.63,0,2012.1,64.5641,9,0,0,0,0
8041,2013,81573,0.124540262,0.021731506,2.9,4.63,4.63,0,2013.1,65.4993,10,0,0,0,0
8041,2014,83754,0.126393087,0.026736788,2.9,4.63,4.63,0,2014.1,66.2647,11,0,0,0,0
8043,2010,5552,0.118488166,-0.933710629,2.9,4.63,4.63,0,2010.1,4.6857,7,0,0,0,0
8043,2011,5454,0.115022039,-0.017651297,2.9,4.63,4.63,0,2011.1,4.7417,8,0,0,0,0
8043,2012,5444,0.115529901,-0.001833517,2.9,4.63,4.63,0,2012.1,4.7122,9,0,0,0,0
8043,2013,5404,0.116297588,-0.007347539,2.9,4.63,4.63,0,2013.1,4.6467,10,0,0,0,0
8043,2014,5450,0.117388589,0.008512213,2.9,4.63,4.63,0,2014.1,4.6427,11,0,0,0,0
8045,2010,11617,0.207091415,1.131559633,2.9,4.63,4.63,0,2010.1,5.6096,7,0,0,0,0
8045,2011,11876,0.212207848,0.022294913,2.9,4.63,4.63,0,2011.1,5.5964,8,0,0,0,0
8045,2012,12031,0.212153274,0.013051533,2.9,4.63,4.63,0,2012.1,5.6709,9,0,0,0,0
8045,2013,12211,0.21455178,0.01496135,2.9,4.63,4.63,0,2013.1,5.6914,10,0,0,0,0
8045,2014,12473,0.218078503,0.021456064,2.9,4.63,4.63,0,2014.1,5.7195,11,0,0,0,0
8047,2010,861,0.157663432,-0.930970897,2.9,4.63,4.63,0,2010.1,0.5461,7,0,0,0,0
8047,2011,849,0.155951506,-0.013937282,2.9,4.63,4.63,0,2011.1,0.5444,8,0,0,0,0
8047,2012,857,0.157161196,0.00942285,2.9,4.63,4.63,0,2012.1,0.5453,9,0,0,0,0
8047,2013,879,0.157894737,0.025670945,2.9,4.63,4.63,0,2013.1,0.5567,10,0,0,0,0
8047,2014,908,0.157283908,0.032992036,2.9,4.63,4.63,0,2014.1,0.5773,11,0,0,0,0
8049,2010,3454,0.233662563,2.803964758,2.9,4.63,4.63,0,2010.1,1.4782,7,0,0,0,0
8049,2011,3450,0.237227532,-0.001158078,2.9,4.63,4.63,0,2011.1,1.4543,8,0,0,0,0
8049,2012,3354,0.237082067,-0.027826087,2.9,4.63,4.63,0,2012.1,1.4147,9,0,0,0,0
8049,2013,3240,0.227304616,-0.033989267,2.9,4.63,4.63,0,2013.1,1.4254,10,0,0,0,0
8049,2014,3370,0.233040592,0.040123457,2.9,4.63,4.63,0,2014.1,1.4461,11,0,0,0,0
8051,2010,3785,0.246467409,0.123145401,2.9,4.63,4.63,0,2010.1,1.5357,7,0,0,0,0
8051,2011,3807,0.246280243,0.005812417,2.9,4.63,4.63,0,2011.1,1.5458,8,0,0,0,0
8051,2012,3860,0.250243112,0.013921723,2.9,4.63,4.63,0,2012.1,1.5425,9,0,0,0,0
8051,2013,4024,0.25723966,0.042487047,2.9,4.63,4.63,0,2013.1,1.5643,10,0,0,0,0
8051,2014,3988,0.251926721,-0.008946322,2.9,4.63,4.63,0,2014.1,1.583,11,0,0,0,0
8053,2010,296,0.3507109,-0.925777332,2.9,4.63,4.63,0,2010.1,0.0844,7,0,0,0,0
8053,2011,321,0.388619855,0.084459459,2.9,4.63,4.63,0,2011.1,0.0826,8,0,0,0,0
8053,2012,326,0.409033877,0.015576324,2.9,4.63,4.63,0,2012.1,0.0797,9,0,0,0,0
8053,2013,339,0.421118012,0.039877301,2.9,4.63,4.63,0,2013.1,0.0805,10,0,0,0,0
8053,2014,298,0.383033419,-0.120943953,2.9,4.63,4.63,0,2014.1,0.0778,11,0,0,0,0
8055,2010,1372,0.205789711,3.604026846,2.9,4.63,4.63,0,2010.1,0.6667,7,0,0,0,0
8055,2011,1371,0.210211592,-0.000728863,2.9,4.63,4.63,0,2011.1,0.6522,8,0,0,0,0
8055,2012,1333,0.20252203,-0.027716995,2.9,4.63,4.63,0,2012.1,0.6582,9,0,0,0,0
8055,2013,1398,0.215774039,0.048762191,2.9,4.63,4.63,0,2013.1,0.6479,10,0,0,0,0
8055,2014,1370,0.213828625,-0.020028612,2.9,4.63,4.63,0,2014.1,0.6407,11,0,0,0,0
8057,2010,406,0.293140794,-0.703649635,2.9,4.63,4.63,0,2010.1,0.1385,7,0,0,0,0
8057,2011,396,0.286956522,-0.024630542,2.9,4.63,4.63,0,2011.1,0.138,8,0,0,0,0
8057,2012,402,0.29844098,0.015151515,2.9,4.63,4.63,0,2012.1,0.1347,9,0,0,0,0
8057,2013,423,0.312177122,0.052238806,2.9,4.63,4.63,0,2013.1,0.1355,10,0,0,0,0
8057,2014,405,0.290322581,-0.042553191,2.9,4.63,4.63,0,2014.1,0.1395,11,0,0,0,0
8059,2010,86480,0.161368573,212.5308642,2.9,4.63,4.63,0,2010.1,53.5916,7,0,0,0,0
