countyFIPS,Group,Weight
20023,1,1
20181,2,1
20199,3,1
20071,4,1
20075,5,1
20187,6,1
20129,7,1
20189,8,1
20175,9,1
20119,10,1
20025,11,1
20033,12,1
20007,13,1
20077,14,1
20191,15,1
20035,16,1
20019,17,1
20125,18,1
20099,19,1
20021,20,1
20037,21,1
20011,22,1
20107,23,1
20121,24,1
20091,25,1
20209,26,1
20103,27,1
20005,28,1
20043,29,1
20013,30,1
20131,31,1
20117,32,1
20201,33,1
20157,34,1
20089,35,1
20183,36,1
20147,37,1
20137,38,1
20039,39,1
20153,40,1
