,idcode,itemcode,amount,year,flag,stateFIPS,countyFIPS
193750,17208800200000,E50,436,2013,R,20.0,20175.0
193816,17208900300000,E50,5239,2013,R,20.0,20177.0
193872,17209100100000,E50,103,2013,R,20.0,20181.0
193919,17209200600000,E50,63,2013,R,20.0,20183.0
194296,17209800200000,E50,88,2013,R,20.0,20195.0
194338,17209900100000,E50,2,2013,R,20.0,20197.0
194374,17209900200000,E50,1,2013,R,20.0,20197.0
194597,17210500300000,E50,3782,2013,R,20.0,20209.0
194754,17400380100000,E50,1467,2013,R,20.0,20005.0
194790,17400560100000,E50,404,2013,R,20.0,20009.0
194820,17400960100000,E50,85,2013,R,20.0,20017.0
194873,17401480100000,E50,659,2013,R,20.0,20027.0
194976,17402360100000,E50,7692,2013,R,20.0,20045.0
194996,17402520100000,E50,7,2013,I,20.0,20049.0
195040,17402980100000,E50,1548,2013,R,20.0,20057.0
195206,17404630100000,E50,11551,2013,R,20.0,20091.0
195217,17404660200000,E50,3120,2013,R,20.0,20091.0
195467,17406760100000,E50,632,2013,R,20.0,20133.0
195517,17407216200000,E50,1324,2013,R,20.0,20143.0
195582,17408080100000,E50,65,2013,I,20.0,20159.0
195588,17408080300000,E50,257,2013,I,20.0,20159.0
195597,17408116400000,E50,1423,2013,R,20.0,20161.0
195605,17408160100000,E50,2560,2013,R,20.0,20161.0
195629,17408460200000,E50,19,2013,I,20.0,20167.0
195639,17408580100000,E50,1756,2013,R,20.0,20169.0
195721,17408970100000,E50,11015,2013,R,20.0,20177.0
195766,17409680200000,E50,248,2013,R,20.0,20191.0
195812,17410550100000,E50,21427,2013,R,20.0,20209.0
484333,17000000000000,E50,100429,2012,R,20.0,
486097,17103903900000,E50,70,2012,R,20.0,20077.0
486416,17104604600000,E50,527,2012,R,20.0,20091.0
488284,17108608600000,E50,200,2012,R,20.0,20171.0
488350,17108708700000,E50,950,2012,R,20.0,20173.0
488524,17109009000000,E50,15,2012,R,20.0,20179.0
489297,17200100400000,E50,2,2012,R,20.0,20001.0
489521,17200200200000,E50,341,2012,R,20.0,20003.0
489622,17200300100000,E50,405,2012,R,20.0,20005.0
490085,17200500600000,E50,3,2012,R,20.0,20009.0
490235,17200600200000,E50,168,2012,R,20.0,20011.0
490354,17200700100000,E50,33,2012,R,20.0,20013.0
490381,17200700200000,E50,6,2012,R,20.0,20013.0
490716,17200800300000,E50,57,2012,I,20.0,20015.0
492519,17201800600000,E50,117,2012,R,20.0,20035.0
492572,17201800700000,E50,279,2012,R,20.0,20035.0
492920,17201900900000,E50,1612,2012,R,20.0,20037.0
493090,17202100100000,E50,234,2012,R,20.0,20041.0
493540,17202300100000,E50,36,2012,R,20.0,20045.0
493594,17202300200000,E50,151,2012,R,20.0,20045.0
493661,17202300300000,E50,2437,2012,R,20.0,20045.0
494027,17202600200000,E50,425,2012,R,20.0,20051.0
495728,17203900600000,E50,9,2012,R,20.0,20077.0
496755,17204600200000,E50,251,2012,I,20.0,20091.0
496795,17204600300000,E50,92,2012,R,20.0,20091.0
496870,17204600500000,E50,296,2012,R,20.0,20091.0
496960,17204600700000,E50,47,2012,R,20.0,20091.0
497388,17204650100000,E50,102,2012,R,20.0,20091.0
497490,17204700200000,E50,3,2012,R,20.0,20093.0
497569,17204800200000,E50,10,2012,R,20.0,20095.0
498004,17205000800000,E50,81,2012,R,20.0,20099.0
498055,17205100100000,E50,4,2012,R,20.0,20101.0
498131,17205200200000,E50,3007,2012,R,20.0,20103.0
498257,17205250100000,E50,251,2012,R,20.0,20103.0
498648,17205500100000,E50,2,2012,I,20.0,20109.0
499137,17205700500000,E50,5,2012,R,20.0,20113.0
499230,17205700700000,E50,8,2012,R,20.0,20113.0
499512,17205800900000,E50,75,2012,R,20.0,20115.0
500093,17206100400000,E50,167,2012,R,20.0,20121.0
500172,17206200200000,E50,27,2012,R,20.0,20123.0
500212,17206200300000,E50,7,2012,R,20.0,20123.0
500429,17206300300000,E50,113,2012,R,20.0,20125.0
501702,17207000600000,E50,8,2012,I,20.0,20139.0
503442,17207900300000,E50,52,2012,R,20.0,20157.0
503799,17208100100000,E50,87,2012,I,20.0,20161.0
503844,17208100200000,E50,1257,2012,R,20.0,20161.0
504025,17208200300000,E50,122,2012,R,20.0,20163.0
504074,17208200400000,E50,9,2012,R,20.0,20163.0
504474,17208400700000,E50,217,2012,R,20.0,20167.0
504647,17208500500000,E50,3798,2012,R,20.0,20169.0
505167,17208701200000,E50,82,2012,R,20.0,20173.0
505255,17208701400000,E50,27,2012,R,20.0,20173.0
505562,17208800200000,E50,590,2012,R,20.0,20175.0
505698,17208900300000,E50,2307,2012,R,20.0,20177.0
506026,17209200600000,E50,61,2012,R,20.0,20183.0
506181,17209300600000,E50,6,2012,R,20.0,20185.0
507181,17210100300000,E50,50,2012,R,20.0,20201.0
507542,17210300600000,E50,158,2012,R,20.0,20205.0
507792,17210500300000,E50,4441,2012,R,20.0,20209.0
515070,17400160100000,E50,133,2012,R,20.0,20001.0
515079,17400160200000,E50,685,2012,R,20.0,20001.0
515321,17400380100000,E50,1513,2012,R,20.0,20005.0
515405,17400460100000,E50,13,2012,I,20.0,20007.0
515459,17400520100000,E50,12,2012,I,20.0,20009.0
515463,17400560100000,E50,873,2012,R,20.0,20009.0
515535,17400618900000,E50,20,2012,R,20.0,20011.0
515551,17400660100000,E50,248,2012,I,20.0,20011.0
515627,17400715600000,E50,139,2012,I,20.0,20013.0
515642,17400720200000,E50,297,2012,R,20.0,20013.0
515665,17400780100000,E50,673,2012,I,20.0,20013.0
515709,17400820100000,E50,150,2012,I,20.0,20015.0
515718,17400820200000,E50,19,2012,I,20.0,20015.0
515826,17400880100000,E50,253,2012,R,20.0,20015.0
515848,17400920100000,E50,206,2012,I,20.0,20017.0
515869,17400960100000,E50,85,2012,R,20.0,20017.0
515954,17401020100000,E50,51,2012,R,20.0,20019.0
515961,17401020200000,E50,245,2012,I,20.0,20019.0
516029,17401120100000,E50,66,2012,R,20.0,20021.0
516050,17401160200000,E50,150,2012,I,20.0,20021.0
516122,17401220100000,E50,124,2012,R,20.0,20023.0
516131,17401260100000,E50,115,2012,I,20.0,20023.0
516188,17401320100000,E50,78,2012,R,20.0,20025.0
516298,17401480100000,E50,630,2012,R,20.0,20027.0
516378,17401520200000,E50,71,2012,R,20.0,20029.0
516453,17401620100000,E50,69,2012,I,20.0,20031.0
516461,17401630100000,E50,89,2012,I,20.0,20031.0
516532,17401720100000,E50,3465,2012,I,20.0,20033.0
516541,17401720200000,E50,1121,2012,I,20.0,20033.0
516591,17401815300000,E50,1004,2012,I,20.0,20035.0
516599,17401820100000,E50,196,2012,R,20.0,20035.0
516727,17401916100000,E50,1624,2012,I,20.0,20037.0
516733,17401920100000,E50,65,2012,I,20.0,20037.0
516741,17401920200000,E50,202,2012,I,20.0,20037.0
516781,17401960200000,E50,171,2012,R,20.0,20037.0
516889,17402080100000,E50,124,2012,I,20.0,20039.0
516984,17402120100000,E50,91,2012,I,20.0,20041.0
516991,17402120200000,E50,1439,2012,I,20.0,20041.0
516998,17402120300000,E50,122,2012,R,20.0,20041.0
517110,17402220100000,E50,256,2012,I,20.0,20043.0
517126,17402260100000,E50,251,2012,I,20.0,20043.0
517136,17402260400000,E50,173,2012,I,20.0,20043.0
517147,17402260500000,E50,106,2012,I,20.0,20043.0
517246,17402360100000,E50,7533,2012,I,20.0,20045.0
517334,17402480100000,E50,971,2012,I,20.0,20047.0
517379,17402520100000,E50,7,2012,I,20.0,20049.0
517403,17402560200000,E50,229,2012,R,20.0,20049.0
517424,17402640200000,E50,62,2012,I,20.0,20051.0
517431,17402640300000,E50,73,2012,R,20.0,20051.0
517455,17402660100000,E50,61,2012,R,20.0,20051.0
517509,17402720100000,E50,141,2012,R,20.0,20053.0
517555,17402860100000,E50,388,2012,I,20.0,20055.0
517605,17402920100000,E50,100,2012,I,20.0,20057.0
517626,17402980100000,E50,1591,2012,R,20.0,20057.0
517770,17403120100000,E50,814,2012,I,20.0,20061.0
517820,17403220200000,E50,18,2012,R,20.0,20063.0
517841,17403320100000,E50,329,2012,I,20.0,20065.0
517847,17403360100000,E50,116,2012,R,20.0,20065.0
517866,17403460100000,E50,1847,2012,I,20.0,20067.0
517886,17403520100000,E50,27,2012,I,20.0,20069.0
517907,17403620100000,E50,83,2012,I,20.0,20071.0
518120,17403980100000,E50,58,2012,I,20.0,20077.0
518160,17404020100000,E50,191,2012,R,20.0,20079.0
518170,17404060200000,E50,719,2012,R,20.0,20079.0
518177,17404060300000,E50,24,2012,R,20.0,20079.0
518200,17404080100000,E50,242,2012,R,20.0,20079.0
518207,17404090200000,E50,63,2012,R,20.0,20079.0
518277,17404260100000,E50,83,2012,I,20.0,20083.0
518370,17404380100000,E50,296,2012,R,20.0,20085.0
518481,17404420100000,E50,48,2012,R,20.0,20087.0
518528,17404460100000,E50,67,2012,R,20.0,20087.0
518688,17404520100000,E50,88,2012,R,20.0,20089.0
518693,17404520200000,E50,72,2012,R,20.0,20089.0
518784,17404630100000,E50,9330,2012,I,20.0,20091.0
518793,17404660200000,E50,3530,2012,R,20.0,20091.0
518872,17404760100000,E50,125,2012,I,20.0,20093.0
518904,17404820100000,E50,17,2012,R,20.0,20095.0
518916,17404860100000,E50,35,2012,R,20.0,20095.0
518955,17404960100000,E50,138,2012,I,20.0,20097.0
518989,17405060100000,E50,560,2012,R,20.0,20099.0
519077,17405120100000,E50,46,2012,I,20.0,20101.0
519121,17405216500000,E50,2139,2012,R,20.0,20103.0
519278,17405320100000,E50,1000,2012,I,20.0,20105.0
519326,17405420100000,E50,91,2012,R,20.0,20107.0
519356,17405460100000,E50,150,2012,R,20.0,20107.0
519424,17405580100000,E50,118,2012,R,20.0,20109.0
519446,17405620100000,E50,1778,2012,I,20.0,20111.0
519455,17405620200000,E50,30,2012,I,20.0,20111.0
519585,17405760100000,E50,254,2012,R,20.0,20113.0
519594,17405760200000,E50,174,2012,R,20.0,20113.0
519671,17405820100000,E50,36,2012,I,20.0,20115.0
519678,17405820200000,E50,73,2012,R,20.0,20115.0
519687,17405820300000,E50,94,2012,R,20.0,20115.0
519693,17405820400000,E50,148,2012,I,20.0,20115.0
519711,17405860100000,E50,50,2012,R,20.0,20115.0
519881,17405920100000,E50,18,2012,R,20.0,20117.0
519897,17405960100000,E50,91,2012,R,20.0,20117.0
519994,17406020100000,E50,50,2012,I,20.0,20119.0
520010,17406020300000,E50,26,2012,R,20.0,20119.0
520017,17406020400000,E50,645,2012,I,20.0,20119.0
520050,17406120100000,E50,142,2012,I,20.0,20121.0
520066,17406160100000,E50,494,2012,R,20.0,20121.0
520189,17406220200000,E50,28,2012,R,20.0,20123.0
520198,17406220300000,E50,40,2012,I,20.0,20123.0
520208,17406280100000,E50,222,2012,R,20.0,20123.0
520314,17406320100000,E50,902,2012,I,20.0,20125.0
520323,17406320200000,E50,165,2012,R,20.0,20125.0
520528,17406520100000,E50,1095,2012,I,20.0,20129.0
520620,17406660100000,E50,88,2012,R,20.0,20131.0
520640,17406680200000,E50,290,2012,R,20.0,20131.0
520767,17406760100000,E50,747,2012,I,20.0,20133.0
520903,17406960200000,E50,5,2012,I,20.0,20137.0
