,idcode,itemcode,amount,year,flag,stateFIPS,countyFIPS
487474,17106906900000,E36,112,2012,R,20.0,20137.0
487560,17107107100000,E36,181,2012,R,20.0,20141.0
487599,17107207200000,E36,402,2012,R,20.0,20143.0
487690,17107407400000,E36,330,2012,R,20.0,20147.0
487792,17107607600000,E36,165,2012,R,20.0,20151.0
487947,17107907900000,E36,211,2012,R,20.0,20157.0
488141,17108308300000,E36,5512,2012,R,20.0,20165.0
488187,17108408400000,E36,616,2012,R,20.0,20167.0
488282,17108608600000,E36,481,2012,R,20.0,20171.0
488415,17108808800000,E36,36954,2012,R,20.0,20175.0
488522,17109009000000,E36,766,2012,R,20.0,20179.0
488569,17109109100000,E36,408,2012,R,20.0,20181.0
488622,17109209200000,E36,200,2012,R,20.0,20183.0
488669,17109309300000,E36,471,2012,R,20.0,20185.0
488716,17109409400000,E36,5532,2012,R,20.0,20187.0
488766,17109509500000,E36,14244,2012,R,20.0,20189.0
488918,17109809800000,E36,137,2012,R,20.0,20195.0
489064,17110110100000,E36,207,2012,R,20.0,20201.0
489110,17110210200000,E36,6297,2012,R,20.0,20203.0
489158,17110310300000,E36,9481,2012,R,20.0,20205.0
491279,17201000600000,E36,134,2012,R,20.0,20019.0
492372,17201800100000,E36,15441,2012,R,20.0,20035.0
492570,17201800700000,E36,23096,2012,R,20.0,20035.0
493227,17202100500000,E36,6,2012,R,20.0,20041.0
493659,17202300300000,E36,142756,2012,R,20.0,20045.0
506676,17209601200000,E36,13257,2012,R,20.0,20191.0
515377,17400400600000,E36,5157,2012,R,20.0,20007.0
515431,17400470100000,E36,8298,2012,R,20.0,20007.0
515493,17400580100000,E36,1086,2012,R,20.0,20009.0
516150,17401300100000,E36,5303,2012,R,20.0,20025.0
516176,17401300300000,E36,9735,2012,R,20.0,20025.0
516794,17401970100000,E36,18502,2012,R,20.0,20037.0
517024,17402150300000,E36,18753,2012,I,20.0,20041.0
517594,17402900500000,E36,218,2012,R,20.0,20057.0
517889,17403550100000,E36,61,2012,R,20.0,20069.0
518063,17403940100000,E36,6794,2012,R,20.0,20077.0
518110,17403970200000,E36,6725,2012,R,20.0,20077.0
518237,17404100300000,E36,11419,2012,R,20.0,20081.0
518246,17404160200000,E36,1591,2012,I,20.0,20081.0
519789,17405880300000,E36,3351,2012,R,20.0,20115.0
519973,17406000600000,E36,13095,2012,R,20.0,20119.0
520845,17406800100000,E36,7863,2012,R,20.0,20135.0
520865,17406800300000,E36,4360,2012,R,20.0,20135.0
521443,17407500900000,E36,1244,2012,R,20.0,20149.0
521898,17408070100000,E36,12694,2012,R,20.0,20159.0
522079,17408201200000,E36,9619,2012,R,20.0,20163.0
